#     	A                   	B                   	A+B                 
----------------------------------------------------------------------
1     	' '                 	't'                 	' t'                
166   	' to'               	'o'                 	' too'              
167   	'om'                	'e'                 	'ome'               
168   	' I'                	't'                 	' It'               
169   	'u'                 	'g'                 	'ug'                
170   	'id'                	'e'                 	'ide'               
171   	' w'                	'ent'               	' went'             
172   	' w'                	'h'                 	' wh'               
173   	' he'               	'l'                 	' hel'              
174   	'On'                	'ce'                	'Once'              
175   	' '                 	'is'                	' is'               
176   	' a'                	'll'                	' all'              
177   	' hel'              	'p'                 	' help'             
178   	'u'                 	'e'                 	'ue'                
179   	' l'                	'oo'                	' loo'              
180   	' l'                	'o'                 	' lo'               
181   	't'                 	'er'                	'ter'               
182   	' '                 	'A'                 	' A'                
183   	' up'               	'on'                	' upon'             
184   	'r'                 	'y'                 	'ry'                
185   	'o'                 	're'                	'ore'               
186   	'i'                 	'nd'                	'ind'               
187   	' f'                	'un'                	' fun'              
188   	'g'                 	'et'                	'get'               
189   	' to'               	'y'                 	' toy'              
190   	'i'                 	'll'                	'ill'               
191   	'am'                	'e'                 	'ame'               
192   	' a'                	's'                 	' as'               
193   	' a'                	't'                 	' at'               
194   	'r'                 	'a'                 	'ra'                
195   	' '                 	'j'                 	' j'                
196   	' d'                	'id'                	' did'              
197   	'get'               	'her'               	'gether'            
198   	' '                 	're'                	' re'               
199   	'u'                 	'r'                 	'ur'                
200   	' s'                	'e'                 	' se'               
201   	' to'               	'gether'            	' together'         
202   	'a'                 	'ck'                	'ack'               
203   	' c'                	'at'                	' cat'              
204   	'l'                 	'y'                 	'ly'                
205   	' t'                	're'                	' tre'              
206   	'oo'                	'd'                 	'ood'               
207   	'i'                 	'c'                 	'ic'                
208   	't'                 	'ed'                	'ted'               
209   	' do'               	'g'                 	' dog'              
210   	' c'                	'ould'              	' could'            
211   	' c'                	'an'                	' can'              
212   	' the'              	'ir'                	' their'            
213   	'ar'                	'd'                 	'ard'               
214   	'e'                 	'c'                 	'ec'                
215   	'ar'                	'k'                 	'ark'               
216   	' g'                	'ir'                	' gir'              
217   	' play'             	'ed'                	' played'           
218   	' h'                	'im'                	' him'              
219   	' b'                	'all'               	' ball'             
220   	'?'                 	'"'                 	'?"'                
221   	' gir'              	'l'                 	' girl'             
222   	'w'                 	'ay'                	'way'               
223   	' r'                	'o'                 	' ro'               
224   	' g'                	'o'                 	' go'               
225   	'he'                	'd'                 	'hed'               
226   	'm'                 	'y'                 	'my'                
227   	' a'                	're'                	' are'              
228   	' '                 	'out'               	' out'              
229   	' l'                	'e'                 	' le'               
230   	' f'                	'r'                 	' fr'               
231   	'a'                 	'in'                	'ain'               
232   	' k'                	'n'                 	' kn'               
233   	'he'                	'n'                 	'hen'               
234   	' the'              	'm'                 	' them'             
235   	'u'                 	'm'                 	'um'                
236   	"'"                 	't'                 	"'t"                
237   	'a'                 	'x'                 	'ax'                
238   	' sa'               	'd'                 	' sad'              
239   	'u'                 	'l'                 	'ul'                
240   	' bo'               	'y'                 	' boy'              
241   	' tre'              	'e'                 	' tree'             
242   	'ot'                	'her'               	'other'             
243   	' ha'               	've'                	' have'             
244   	' m'                	'an'                	' man'              
245   	' c'                	'l'                 	' cl'               
246   	' lo'               	'ved'               	' loved'            
247   	' loo'              	'ked'               	' looked'           
248   	'ou'                	'g'                 	'oug'               
249   	' f'                	'ound'              	' found'            
250   	' s'                	'p'                 	' sp'               
251   	' st'               	'ar'                	' star'             
252   	' S'                	'ue'                	' Sue'              
253   	'on'                	'e'                 	'one'               
254   	'h'                 	'ing'               	'hing'              
255   	' s'                	'c'                 	' sc'               
256   	' b'                	'ack'               	' back'             
257   	'ow'                	'n'                 	'own'               
258   	' M'                	'ax'                	' Max'              
259   	'a'                 	're'                	'are'               
260   	' li'               	'ke'                	' like'             
261   	'f'                 	'ul'                	'ful'               
262   	's'                 	'ide'               	'side'              
263   	' m'                	'e'                 	' me'               
264   	' be'               	'c'                 	' bec'              
265   	' p'                	'ark'               	' park'             
266   	'ig'                	'ht'                	'ight'              
267   	'on'                	'g'                 	'ong'               
268   	' c'                	'ar'                	' car'              
269   	'o'                 	'p'                 	'op'                
270   	'el'                	't'                 	'elt'               
271   	' '                 	'One'               	' One'              
272   	' li'               	'ked'               	' liked'            
273   	' w'                	'ould'              	' would'            
274   	' m'                	'ake'               	' make'             
275   	'r'                 	'ound'              	'round'             
276   	' l'                	'a'                 	' la'               
277   	' f'                	'a'                 	' fa'               
278   	' f'                	'elt'               	' felt'             
279   	'Y'                 	'ou'                	'You'               
280   	' '                 	'W'                 	' W'                
281   	'e'                 	'll'                	'ell'               
282   	' se'               	'e'                 	' see'              
283   	' B'                	'ut'                	' But'              
284   	'om'                	'et'                	'omet'              
285   	' as'               	'ked'               	' asked'            
286   	'a'                 	'g'                 	'ag'                
287   	' ne'               	'w'                 	' new'              
288   	' n'                	'o'                 	' no'               
289   	'i'                 	'ce'                	'ice'               
290   	' S'                	'am'                	' Sam'              
291   	'ou'                	'se'                	'ouse'              
292   	' star'             	'ted'               	' started'          
293   	'ar'                	'ed'                	'ared'              
294   	' c'                	'ame'               	' came'             
295   	' B'                	'en'                	' Ben'              
296   	' a'                	'l'                 	' al'               
297   	' '                 	'other'             	' other'            
298   	'oug'               	'ht'                	'ought'             
299   	'il'                	'ed'                	'iled'              
300   	' s'                	'omet'              	' somet'            
301   	' a'                	'g'                 	' ag'               
302   	' g'                	'ood'               	' good'             
303   	' sm'               	'all'               	' small'            
304   	's'                 	's'                 	'ss'                
305   	' b'                	'r'                 	' br'               
306   	' sm'               	'iled'              	' smiled'           
307   	' s'                	'ay'                	' say'              
308   	'ri'                	'ed'                	'ried'              
309   	'ad'                	'e'                 	'ade'               
310   	'ing'               	's'                 	'ings'              
311   	'o'                 	'b'                 	'ob'                
312   	'p'                 	'ot'                	'pot'               
313   	' w'                	'or'                	' wor'              
314   	' f'                	'ind'               	' find'             
315   	' e'                	'x'                 	' ex'               
316   	'i'                 	'a'                 	'ia'                
317   	' a'                	'way'               	' away'             
318   	't'                 	'y'                 	'ty'                
319   	' p'                	'ut'                	' put'              
320   	' wh'               	'at'                	' what'             
321   	' somet'            	'hing'              	' something'        
322   	' c'                	'o'                 	' co'               
323   	' fr'               	'om'                	' from'             
324   	' m'                	'ade'               	' made'             
325   	' th'               	'ought'             	' thought'          
326   	'en'                	'ed'                	'ened'              
327   	' h'                	'ome'               	' home'             
328   	' play'             	'ing'               	' playing'          
329   	'oo'                	'k'                 	'ook'               
330   	' e'                	'very'              	' every'            
331   	' wa'               	'l'                 	' wal'              
332   	' m'                	'u'                 	' mu'               
333   	'u'                 	'c'                 	'uc'                
334   	'a'                 	'ch'                	'ach'               
335   	'ar'                	'n'                 	'arn'               
336   	' S'                	'pot'               	' Spot'             
337   	' r'                	'an'                	' ran'              
338   	'i'                 	'le'                	'ile'               
339   	' '                 	'F'                 	' F'                
340   	'i'                 	'e'                 	'ie'                
341   	' '                 	'J'                 	' J'                
342   	'a'                 	've'                	'ave'               
343   	' ag'               	'ain'               	' again'            
344   	' s'                	'ome'               	' some'             
345   	' la'               	'ug'                	' laug'             
346   	'd'                 	'd'                 	'dd'                
347   	' h'                	'ouse'              	' house'            
348   	' d'                	'own'               	' down'             
349   	' f'                	'l'                 	' fl'               
350   	'k'                 	'ing'               	'king'              
351   	' too'              	'k'                 	' took'             
352   	' sc'               	'ared'              	' scared'           
353   	' p'                	'r'                 	' pr'               
354   	'n'                 	'y'                 	'ny'                
355   	'u'                 	're'                	'ure'               
356   	' toy'              	's'                 	' toys'             
357   	' le'               	'arn'               	' learn'            
358   	' '                 	'You'               	' You'              
359   	'i'                 	'f'                 	'if'                
360   	' w'                	'ill'               	' will'             
361   	' bo'               	'x'                 	' box'              
362   	'i'                 	'ck'                	'ick'               
363   	're'                	't'                 	'ret'               
364   	'a'                 	'b'                 	'ab'                
365   	'e'                 	'p'                 	'ep'                
366   	' m'                	'y'                 	' my'               
367   	' a'                	'round'             	' around'           
368   	' th'               	'ings'              	' things'           
369   	' you'              	'r'                 	' your'             
370   	'ou'                	'd'                 	'oud'               
371   	' b'                	'l'                 	' bl'               
372   	'u'                 	'ck'                	'uck'               
373   	' w'                	'hen'               	' when'             
374   	'is'                	'h'                 	'ish'               
375   	' li'               	'ved'               	' lived'            
376   	' f'                	'e'                 	' fe'               
377   	' the'              	'n'                 	' then'             
378   	' s'                	'un'                	' sun'              
379   	'a'                 	's'                 	'as'                
380   	' s'                	'w'                 	' sw'               
381   	','                 	'"'                 	',"'                
382   	' c'                	'h'                 	' ch'               
383   	'u'                 	's'                 	'us'                
384   	'pp'                	'ed'                	'pped'              
385   	' a'                	'b'                 	' ab'               
386   	' M'                	'ia'                	' Mia'              
387   	'an'                	'k'                 	'ank'               
388   	' g'                	'et'                	' get'              
389   	'uc'                	'y'                 	'ucy'               
390   	'T'                 	'im'                	'Tim'               
391   	'um'                	'p'                 	'ump'               
392   	'T'                 	'h'                 	'Th'                
393   	' l'                	'ot'                	' lot'              
394   	'is'                	't'                 	'ist'               
395   	'ot'                	'h'                 	'oth'               
396   	' t'                	'ried'              	' tried'            
397   	'a'                 	'p'                 	'ap'                
398   	' kn'               	'ow'                	' know'             
399   	' say'              	's'                 	' says'             
400   	' g'                	'ot'                	' got'              
401   	'it'                	'ed'                	'ited'              
402   	' wh'               	'o'                 	' who'              
403   	' kn'               	'e'                 	' kne'              
404   	'u'                 	'st'                	'ust'               
405   	' man'              	'y'                 	' many'             
406   	'nd'                	'er'                	'nder'              
407   	' in'               	't'                 	' int'              
408   	' ab'               	'out'               	' about'            
409   	'L'                 	'ily'               	'Lily'              
410   	' p'                	'ret'               	' pret'             
411   	' d'                	'ec'                	' dec'              
412   	' an'               	'y'                 	' any'              
413   	' r'                	'ed'                	' red'              
414   	' '                 	'D'                 	' D'                
415   	'i'                 	've'                	'ive'               
416   	' kne'              	'w'                 	' knew'             
417   	'a'                 	'ce'                	'ace'               
418   	'ou'                	's'                 	'ous'               
419   	' m'                	'ore'               	' more'             
420   	'is'                	'e'                 	'ise'               
421   	' c'                	'are'               	' care'             
422   	'all'               	'y'                 	'ally'              
423   	' p'                	'ic'                	' pic'              
424   	'a'                 	'u'                 	'au'                
425   	'q'                 	'u'                 	'qu'                
426   	' h'                	'ug'                	' hug'              
427   	' L'                	'ucy'               	' Lucy'             
428   	' learn'            	'ed'                	' learned'          
429   	' p'                	'o'                 	' po'               
430   	' wa'               	'ter'               	' water'            
431   	'f'                 	'ter'               	'fter'              
432   	' '                 	'v'                 	' v'                
433   	' bec'              	'ame'               	' became'           
434   	' be'               	'st'                	' best'             
435   	'au'                	'se'                	'ause'              
436   	' o'                	'p'                 	' op'               
437   	' g'                	're'                	' gre'              
438   	' ex'               	'c'                 	' exc'              
439   	'ur'                	'p'                 	'urp'               
440   	'way'               	's'                 	'ways'              
441   	'�'                 	'�'                 	'�'                 
442   	' out'              	'side'              	' outside'          
443   	' laug'             	'hed'               	' laughed'          
444   	' loo'              	'k'                 	' look'             
445   	' al'               	'ways'              	' always'           
446   	' dec'              	'id'                	' decid'            
447   	' sh'               	'ow'                	' show'             
448   	' u'                	'n'                 	' un'               
449   	'an'                	't'                 	'ant'               
450   	' B'                	'ob'                	' Bob'              
451   	' ro'               	'om'                	' room'             
452   	'f'                 	'e'                 	'fe'                
453   	' decid'            	'ed'                	' decided'          
454   	' h'                	'o'                 	' ho'               
455   	' bec'              	'ause'              	' because'          
456   	' S'                	'o'                 	' So'               
457   	' int'              	'o'                 	' into'             
458   	' e'                	'at'                	' eat'              
459   	'it'                	'e'                 	'ite'               
460   	' j'                	'ump'               	' jump'             
461   	' A'                	'nd'                	' And'              
462   	' p'                	'e'                 	' pe'               
463   	' b'                	'oth'               	' both'             
464   	'er'                	's'                 	'ers'               
465   	' M'                	'om'                	' Mom'              
466   	' d'                	'ad'                	' dad'              
467   	'The'               	'y'                 	'They'              
468   	'u'                 	'dd'                	'udd'               
469   	' '                 	'ke'                	' ke'               
470   	' on'               	'e'                 	' one'              
471   	'n'                 	'n'                 	'nn'                
472   	' th'               	'is'                	' this'             
473   	' exc'              	'ited'              	' excited'          
474   	' fa'               	'st'                	' fast'             
475   	' n'                	'ice'               	' nice'             
476   	' '                 	'E'                 	' E'                
477   	' fe'               	'el'                	' feel'             
478   	'T'                 	'om'                	'Tom'               
479   	'Y'                 	'es'                	'Yes'               
480   	' r'                	'un'                	' run'              
481   	' l'                	'ong'               	' long'             
482   	' to'               	'ld'                	' told'             
483   	' s'                	'k'                 	' sk'               
484   	' a'                	'm'                 	' am'               
485   	'urp'               	'r'                 	'urpr'              
486   	'ou'                	'r'                 	'our'               
487   	' in'               	'side'              	' inside'           
488   	'u'                 	'll'                	'ull'               
489   	' t'                	'r'                 	' tr'               
490   	' s'                	'urpr'              	' surpr'            
491   	' m'                	'o'                 	' mo'               
492   	'in'                	'k'                 	'ink'               
493   	' pret'             	'ty'                	' pretty'           
494   	'in'                	'y'                 	'iny'               
495   	' s'                	'or'                	' sor'              
496   	'W'                 	'h'                 	'Wh'                
497   	' t'                	'ake'               	' take'             
498   	'o'                 	'g'                 	'og'                
499   	' s'                	'l'                 	' sl'               
500   	' e'                	'ach'               	' each'             
501   	' g'                	'ave'               	' gave'             
502   	' mu'               	'ch'                	' much'             
503   	' g'                	'ra'                	' gra'              
504   	'le'                	'w'                 	'lew'               
505   	'nn'                	'a'                 	'nna'               
506   	' ro'               	'ck'                	' rock'             
507   	' h'                	'ow'                	' how'              
508   	' st'               	'r'                 	' str'              
509   	'ar'                	'a'                 	'ara'               
510   	'im'                	'al'                	'imal'              
511   	' an'               	'imal'              	' animal'           
512   	'g'                 	'ed'                	'ged'               
513   	' ne'               	'ed'                	' need'             
514   	' th'               	'an'                	' than'             
515   	'B'                 	'ut'                	'But'               
516   	'v'                 	'en'                	'ven'               
517   	'et'                	'ter'               	'etter'             
518   	' to'               	'w'                 	' tow'              
519   	' '                 	'or'                	' or'               
520   	' '                 	'C'                 	' C'                
521   	' u'                	'nder'              	' under'            
522   	'es'                	's'                 	'ess'               
523   	' o'                	'ld'                	' old'              
524   	' sor'              	'ry'                	' sorry'            
525   	'g'                 	'e'                 	'ge'                
526   	'is'                	'ed'                	'ised'              
527   	'r'                 	'o'                 	'ro'                
528   	'ur'                	't'                 	'urt'               
529   	' c'                	'le'                	' cle'              
530   	' f'                	'ish'               	' fish'             
531   	' wal'              	'ked'               	' walked'           
532   	' cl'               	'o'                 	' clo'              
533   	'a'                 	'nd'                	'and'               
534   	' be'               	'ar'                	' bear'             
535   	'f'                 	't'                 	'ft'                
536   	'a'                 	'se'                	'ase'               
537   	'a'                 	'st'                	'ast'               
538   	' ha'               	'nd'                	' hand'             
539   	'ur'                	'n'                 	'urn'               
540   	' W'                	'e'                 	' We'               
541   	' k'                	'ind'               	' kind'             
542   	' H'                	'is'                	' His'              
543   	' t'                	'e'                 	' te'               
544   	'he'                	're'                	'here'              
545   	' happ'             	'ened'              	' happened'         
546   	' j'                	'ust'               	' just'             
547   	' fl'               	'ow'                	' flow'             
548   	' f'                	'ood'               	' food'             
549   	' l'                	'ist'               	' list'             
550   	' did'              	'n'                 	' didn'             
551   	' animal'           	's'                 	' animals'          
552   	' h'                	'ig'                	' hig'              
553   	'p'                 	'l'                 	'pl'                
554   	' ne'               	'ar'                	' near'             
555   	' wa'               	't'                 	' wat'              
556   	' '                 	'ide'               	' ide'              
557   	' t'                	'ry'                	' try'              
558   	'c'                 	'hed'               	'ched'              
559   	' sk'               	'y'                 	' sky'              
560   	'in'                	'e'                 	'ine'               
561   	' s'                	'n'                 	' sn'               
562   	'v'                 	'ing'               	'ving'              
563   	' f'                	'i'                 	' fi'               
564   	'r'                 	'om'                	'rom'               
565   	' u'                	's'                 	' us'               
566   	' ide'              	'a'                 	' idea'             
567   	' b'                	'etter'             	' better'           
568   	' A'                	'my'                	' Amy'              
569   	' b'                	'ug'                	' bug'              
570   	' he'               	'ard'               	' heard'            
571   	'g'                 	'ry'                	'gry'               
572   	' it'               	's'                 	' its'              
573   	' t'                	'w'                 	' tw'               
574   	' l'                	'et'                	' let'              
575   	'p'                 	'ec'                	'pec'               
576   	'at'                	'e'                 	'ate'               
577   	'ab'                	'le'                	'able'              
578   	'f'                 	'f'                 	'ff'                
579   	' '                 	'en'                	' en'               
580   	' care'             	'ful'               	' careful'          
581   	' sh'               	'are'               	' share'            
582   	'e'                 	'x'                 	'ex'                
583   	' '                 	'if'                	' if'               
584   	'Th'                	'ank'               	'Thank'             
585   	'M'                 	'om'                	'Mom'               
586   	' f'                	'ly'                	' fly'              
587   	' st'               	'or'                	' stor'             
588   	'i'                 	'al'                	'ial'               
589   	' f'                	'lew'               	' flew'             
590   	'm'                 	'ore'               	'more'              
591   	' any'              	'more'              	' anymore'          
592   	' T'                	'h'                 	' Th'               
593   	' sp'               	'ec'                	' spec'             
594   	' spec'             	'ial'               	' special'          
595   	'i'                 	'on'                	'ion'               
596   	' c'                	'om'                	' com'              
597   	' lot'              	's'                 	' lots'             
598   	' ne'               	'ver'               	' never'            
599   	' b'                	'y'                 	' by'               
600   	'l'                 	'f'                 	'lf'                
601   	're'                	'am'                	'ream'              
602   	' d'                	'an'                	' dan'              
603   	' b'                	'u'                 	' bu'               
604   	' f'                	'o'                 	' fo'               
605   	' w'                	'ind'               	' wind'             
606   	' d'                	'on'                	' don'              
607   	' t'                	'al'                	' tal'              
608   	' cle'              	'an'                	' clean'            
609   	'or'                	't'                 	'ort'               
610   	' g'                	'r'                 	' gr'               
611   	' lo'               	've'                	' love'             
612   	'r'                 	'm'                 	'rm'                
613   	'b'                 	'er'                	'ber'               
614   	' e'                	'nd'                	' end'              
615   	'\n'                	'\n'                	'\n\n'              
616   	' The'              	'n'                 	' Then'             
617   	'op'                	'le'                	'ople'              
618   	' e'                	'ven'               	' even'             
619   	' m'                	'ag'                	' mag'              
620   	' h'                	'ard'               	' hard'             
621   	' sh'               	'iny'               	' shiny'            
622   	'udd'               	'en'                	'udden'             
623   	' f'                	'ore'               	' fore'             
624   	' o'                	'ver'               	' over'             
625   	' c'                	'ake'               	' cake'             
626   	'a'                 	'k'                 	'ak'                
627   	' b'                	'ook'               	' book'             
628   	' co'               	'l'                 	' col'              
629   	' t'                	'urn'               	' turn'             
630   	' f'                	'am'                	' fam'              
631   	' b'                	'ad'                	' bad'              
632   	' sa'               	'fe'                	' safe'             
633   	' a'                	'fter'              	' after'            
634   	'ad'                	'y'                 	'ady'               
635   	' A'                	'nna'               	' Anna'             
636   	'udden'             	'ly'                	'uddenly'           
637   	' pe'               	'ople'              	' people'           
638   	' pr'               	'oud'               	' proud'            
639   	' E'                	'very'              	' Every'            
640   	' surpr'            	'ised'              	' surprised'        
641   	'pec'               	'ted'               	'pected'            
642   	'L'                 	'et'                	'Let'               
643   	' hig'              	'h'                 	' high'             
